requisition_number,requisition_line_id,item,quantity,uom,destination_type_code,need_by_date,organization_id,po_number,so_number,requested_by_user_id,req_status,priority_code,creation_date,route,,Process_Area,Root_Cause_Tag,Context_Summary,SLA_Flag
REQ-0000293,900174,ITEM-00210,168,CT,EXPENSE,2025-05-17,201,PO-0000142,,N1F6DA,REQUIRES REAPPROVAL,URGENT,2025-10-17,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000293 for 168 ITEM-00210s from WH 201 Status: REQUIRES REAPPROVAL. Need-by: 2025-05-17. Delay: no delay. Destination: EXPENSE.,
REQ-0000367,900175,ITEM-00285,166,BX,SHOP FLOOR,2025-06-01,102,PO-0000183,,JIG8NY,REJECTED,LOW,2025-07-08,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000367 for 166 ITEM-00285s from WH 102 Status: REJECTED. Need-by: 2025-06-01. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000248,900176,ITEM-00033,142,PK,SHOP FLOOR,2025-06-06,101,PO-0000106,,K1PMOM,REJECTED,LOW,2025-08-02,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000248 for 142 ITEM-00033s from WH 101 Status: REJECTED. Need-by: 2025-06-06. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000618,900177,ITEM-00217,100,PK,SHOP FLOOR,2025-08-13,103,,SO-0000140,PLGRPF,APPROVED,STD,2025-08-31,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000618 for 100 ITEM-00217s from WH 103 Status: APPROVED. Need-by: 2025-08-13. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000495,900178,ITEM-00131,120,CT,SHOP FLOOR,2025-05-09,103,,SO-0000079,OJFB8R,APPROVED,LOW,2025-09-05,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000495 for 120 ITEM-00131s from WH 103 Status: APPROVED. Need-by: 2025-05-09. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000125,900179,ITEM-00174,159,EA,EXPENSE,2025-07-18,201,PO-0000138,,QA4QY8,APPROVED,STD,2025-09-25,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000125 for 159 ITEM-00174s from WH 201 Status: APPROVED. Need-by: 2025-07-18. Delay: no delay. Destination: EXPENSE.,
REQ-0000221,900180,ITEM-00035,21,CT,SHOP FLOOR,2025-08-15,102,PO-0000112,,R2SBMH,APPROVED,URGENT,2025-06-24,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000221 for 21 ITEM-00035s from WH 102 Status: APPROVED. Need-by: 2025-08-15. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000094,900181,ITEM-00093,72,EA,INVENTORY,2025-09-24,301,PO-0000256,,OVDX7P,APPROVED,URGENT,2025-08-12,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000094 for 72 ITEM-00093s from WH 301 Status: APPROVED. Need-by: 2025-09-24. Delay: no delay. Destination: INVENTORY.,
REQ-0000620,900182,ITEM-00215,173,PK,EXPENSE,2025-05-22,201,,SO-0000076,I4MAX8,REJECTED,LOW,2025-08-31,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000620 for 173 ITEM-00215s from WH 201 Status: REJECTED. Need-by: 2025-05-22. Delay: no delay. Destination: EXPENSE.,
REQ-0000346,900183,ITEM-00170,55,CT,EXPENSE,2025-06-21,101,,SO-0000017,I0D4MT,APPROVED,URGENT,2025-08-11,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000346 for 55 ITEM-00170s from WH 101 Status: APPROVED. Need-by: 2025-06-21. Delay: no delay. Destination: EXPENSE.,
REQ-0000292,900184,ITEM-00113,192,PK,SHOP FLOOR,2025-08-22,102,,SO-0000149,2UBCYW,REJECTED,STD,2025-08-05,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000292 for 192 ITEM-00113s from WH 102 Status: REJECTED. Need-by: 2025-08-22. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000003,900185,ITEM-00164,61,CT,SHOP FLOOR,2025-07-26,301,PO-0000201,,9I0MJM,APPROVED,STD,2025-08-10,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000003 for 61 ITEM-00164s from WH 301 Status: APPROVED. Need-by: 2025-07-26. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000448,900186,ITEM-00160,146,CT,EXPENSE,2025-06-20,103,,SO-0000015,O4WHC1,REQUIRES REAPPROVAL,STD,2025-10-11,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000448 for 146 ITEM-00160s from WH 103 Status: REQUIRES REAPPROVAL. Need-by: 2025-06-20. Delay: no delay. Destination: EXPENSE.,
REQ-0000347,900187,ITEM-00104,45,BX,INVENTORY,2025-04-21,102,PO-0000006,,64TWYV,REJECTED,LOW,2025-08-04,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000347 for 45 ITEM-00104s from WH 102 Status: REJECTED. Need-by: 2025-04-21. Delay: no delay. Destination: INVENTORY.,
REQ-0000158,900188,ITEM-00119,10,CT,EXPENSE,2025-06-27,301,PO-0000036,,FKE6D6,REQUIRES REAPPROVAL,STD,2025-07-05,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000158 for 10 ITEM-00119s from WH 301 Status: REQUIRES REAPPROVAL. Need-by: 2025-06-27. Delay: no delay. Destination: EXPENSE.,
REQ-0000074,900189,ITEM-00216,11,CT,SHOP FLOOR,2025-08-27,103,PO-0000272,,9VGU3V,REQUIRES REAPPROVAL,LOW,2025-08-18,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000074 for 11 ITEM-00216s from WH 103 Status: REQUIRES REAPPROVAL. Need-by: 2025-08-27. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000153,900190,ITEM-00243,100,EA,SHOP FLOOR,2025-05-25,201,PO-0000262,,TH79IG,IN PROCESS,LOW,2025-09-03,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000153 for 100 ITEM-00243s from WH 201 Status: IN PROCESS. Need-by: 2025-05-25. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000583,900191,ITEM-00134,154,CT,EXPENSE,2025-05-14,201,,SO-0000075,YTZNNK,REJECTED,STD,2025-10-13,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000583 for 154 ITEM-00134s from WH 201 Status: REJECTED. Need-by: 2025-05-14. Delay: no delay. Destination: EXPENSE.,
REQ-0000649,900192,ITEM-00164,29,EA,EXPENSE,2025-07-20,101,,SO-0000005,EBNNO1,APPROVED,URGENT,2025-08-28,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000649 for 29 ITEM-00164s from WH 101 Status: APPROVED. Need-by: 2025-07-20. Delay: no delay. Destination: EXPENSE.,
REQ-0000534,900193,ITEM-00120,151,BX,EXPENSE,2025-09-20,201,PO-0000034,,O877YM,IN PROCESS,URGENT,2025-09-05,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000534 for 151 ITEM-00120s from WH 201 Status: IN PROCESS. Need-by: 2025-09-20. Delay: no delay. Destination: EXPENSE.,
REQ-0000487,900194,ITEM-00259,141,PK,INVENTORY,2025-10-02,102,PO-0000115,,7P5JII,REJECTED,LOW,2025-08-10,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000487 for 141 ITEM-00259s from WH 102 Status: REJECTED. Need-by: 2025-10-02. Delay: no delay. Destination: INVENTORY.,
REQ-0000317,900195,ITEM-00113,139,PK,EXPENSE,2025-08-27,101,,SO-0000079,00ARCO,REQUIRES REAPPROVAL,URGENT,2025-08-03,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000317 for 139 ITEM-00113s from WH 101 Status: REQUIRES REAPPROVAL. Need-by: 2025-08-27. Delay: no delay. Destination: EXPENSE.,
REQ-0000488,900196,ITEM-00206,147,CT,SHOP FLOOR,2025-08-14,101,PO-0000231,,K73MVD,REJECTED,STD,2025-07-25,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000488 for 147 ITEM-00206s from WH 101 Status: REJECTED. Need-by: 2025-08-14. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000090,900197,ITEM-00269,28,EA,INVENTORY,2025-09-06,301,PO-0000223,,5ZYLZT,APPROVED,URGENT,2025-10-01,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000090 for 28 ITEM-00269s from WH 301 Status: APPROVED. Need-by: 2025-09-06. Delay: no delay. Destination: INVENTORY.,
REQ-0000524,900198,ITEM-00152,150,EA,EXPENSE,2025-10-16,102,PO-0000020,,JMWJG4,APPROVED,STD,2025-10-16,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000524 for 150 ITEM-00152s from WH 102 Status: APPROVED. Need-by: 2025-10-16. Delay: no delay. Destination: EXPENSE.,
REQ-0000569,900199,ITEM-00220,196,BX,EXPENSE,2025-06-03,201,PO-0000136,,2GFGXR,IN PROCESS,URGENT,2025-07-01,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000569 for 196 ITEM-00220s from WH 201 Status: IN PROCESS. Need-by: 2025-06-03. Delay: no delay. Destination: EXPENSE.,
REQ-0000511,900200,ITEM-00045,89,CT,SHOP FLOOR,2025-07-01,101,PO-0000136,,LYP3HL,APPROVED,STD,2025-09-13,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000511 for 89 ITEM-00045s from WH 101 Status: APPROVED. Need-by: 2025-07-01. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000699,900201,ITEM-00127,190,BX,INVENTORY,2025-05-11,101,,SO-0000086,TFOULP,REQUIRES REAPPROVAL,LOW,2025-07-23,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000699 for 190 ITEM-00127s from WH 101 Status: REQUIRES REAPPROVAL. Need-by: 2025-05-11. Delay: no delay. Destination: INVENTORY.,
REQ-0000100,900202,ITEM-00185,142,CT,SHOP FLOOR,2025-08-22,101,,SO-0000051,08SFTI,REQUIRES REAPPROVAL,LOW,2025-09-14,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000100 for 142 ITEM-00185s from WH 101 Status: REQUIRES REAPPROVAL. Need-by: 2025-08-22. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000360,900203,ITEM-00206,17,EA,INVENTORY,2025-08-28,103,,SO-0000142,TRH0B2,IN PROCESS,STD,2025-07-20,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000360 for 17 ITEM-00206s from WH 103 Status: IN PROCESS. Need-by: 2025-08-28. Delay: no delay. Destination: INVENTORY.,
REQ-0000068,900204,ITEM-00041,15,PK,SHOP FLOOR,2025-05-28,102,PO-0000205,,TLYJ1X,REQUIRES REAPPROVAL,LOW,2025-09-21,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000068 for 15 ITEM-00041s from WH 102 Status: REQUIRES REAPPROVAL. Need-by: 2025-05-28. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000236,900205,ITEM-00130,155,EA,SHOP FLOOR,2025-05-25,201,,SO-0000011,QYWUXB,REQUIRES REAPPROVAL,URGENT,2025-09-12,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000236 for 155 ITEM-00130s from WH 201 Status: REQUIRES REAPPROVAL. Need-by: 2025-05-25. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000265,900206,ITEM-00077,44,EA,INVENTORY,2025-10-04,101,PO-0000161,,2L7GS9,IN PROCESS,LOW,2025-09-26,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000265 for 44 ITEM-00077s from WH 101 Status: IN PROCESS. Need-by: 2025-10-04. Delay: no delay. Destination: INVENTORY.,
REQ-0000288,900207,ITEM-00169,139,CT,EXPENSE,2025-05-11,201,PO-0000159,,OZM70K,IN PROCESS,LOW,2025-09-15,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000288 for 139 ITEM-00169s from WH 201 Status: IN PROCESS. Need-by: 2025-05-11. Delay: no delay. Destination: EXPENSE.,
REQ-0000592,900208,ITEM-00256,147,BX,EXPENSE,2025-05-12,103,PO-0000087,,ZQBTNM,REJECTED,URGENT,2025-10-17,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000592 for 147 ITEM-00256s from WH 103 Status: REJECTED. Need-by: 2025-05-12. Delay: no delay. Destination: EXPENSE.,
REQ-0000554,900209,ITEM-00245,60,EA,SHOP FLOOR,2025-09-24,101,,SO-0000113,EW4HNK,IN PROCESS,URGENT,2025-10-18,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000554 for 60 ITEM-00245s from WH 101 Status: IN PROCESS. Need-by: 2025-09-24. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000449,900210,ITEM-00130,120,CT,INVENTORY,2025-05-06,101,PO-0000187,,X5K9OB,REQUIRES REAPPROVAL,LOW,2025-07-22,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000449 for 120 ITEM-00130s from WH 101 Status: REQUIRES REAPPROVAL. Need-by: 2025-05-06. Delay: no delay. Destination: INVENTORY.,
REQ-0000140,900211,ITEM-00273,21,CT,SHOP FLOOR,2025-06-07,201,PO-0000234,,XXANFA,IN PROCESS,LOW,2025-08-23,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000140 for 21 ITEM-00273s from WH 201 Status: IN PROCESS. Need-by: 2025-06-07. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000089,900212,ITEM-00270,48,EA,SHOP FLOOR,2025-05-25,301,,SO-0000007,P5W7C7,IN PROCESS,URGENT,2025-09-29,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000089 for 48 ITEM-00270s from WH 301 Status: IN PROCESS. Need-by: 2025-05-25. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000120,900213,ITEM-00041,99,EA,INVENTORY,2025-06-23,201,PO-0000030,,N57L8U,IN PROCESS,URGENT,2025-07-07,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000120 for 99 ITEM-00041s from WH 201 Status: IN PROCESS. Need-by: 2025-06-23. Delay: no delay. Destination: INVENTORY.,
REQ-0000034,900214,ITEM-00290,103,CT,SHOP FLOOR,2025-05-19,102,,SO-0000078,6TPD16,IN PROCESS,STD,2025-06-21,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000034 for 103 ITEM-00290s from WH 102 Status: IN PROCESS. Need-by: 2025-05-19. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000145,900215,ITEM-00142,82,BX,SHOP FLOOR,2025-08-23,301,PO-0000191,,7GRDAU,REJECTED,LOW,2025-06-24,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000145 for 82 ITEM-00142s from WH 301 Status: REJECTED. Need-by: 2025-08-23. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000543,900216,ITEM-00184,19,PK,SHOP FLOOR,2025-05-04,102,,SO-0000010,DMD40L,REJECTED,LOW,2025-07-09,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000543 for 19 ITEM-00184s from WH 102 Status: REJECTED. Need-by: 2025-05-04. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000597,900217,ITEM-00263,195,BX,EXPENSE,2025-10-12,102,,SO-0000058,H2PGQJ,IN PROCESS,STD,2025-08-26,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000597 for 195 ITEM-00263s from WH 102 Status: IN PROCESS. Need-by: 2025-10-12. Delay: no delay. Destination: EXPENSE.,
REQ-0000391,900218,ITEM-00202,79,BX,EXPENSE,2025-04-22,102,PO-0000111,,BUNYEK,REJECTED,URGENT,2025-09-19,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000391 for 79 ITEM-00202s from WH 102 Status: REJECTED. Need-by: 2025-04-22. Delay: no delay. Destination: EXPENSE.,
REQ-0000515,900219,ITEM-00116,164,PK,SHOP FLOOR,2025-08-02,103,PO-0000269,,KJXFPI,APPROVED,STD,2025-08-21,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000515 for 164 ITEM-00116s from WH 103 Status: APPROVED. Need-by: 2025-08-02. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000592,900220,ITEM-00167,114,CT,EXPENSE,2025-05-24,101,,SO-0000142,ZQBTNM,REJECTED,URGENT,2025-10-17,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000592 for 114 ITEM-00167s from WH 101 Status: REJECTED. Need-by: 2025-05-24. Delay: no delay. Destination: EXPENSE.,
REQ-0000665,900221,ITEM-00132,102,BX,SHOP FLOOR,2025-08-14,103,,SO-0000029,7G6LUX,APPROVED,LOW,2025-09-15,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000665 for 102 ITEM-00132s from WH 103 Status: APPROVED. Need-by: 2025-08-14. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000627,900222,ITEM-00052,184,BX,INVENTORY,2025-04-27,201,,SO-0000071,EBAMXQ,REQUIRES REAPPROVAL,LOW,2025-07-13,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000627 for 184 ITEM-00052s from WH 201 Status: REQUIRES REAPPROVAL. Need-by: 2025-04-27. Delay: no delay. Destination: INVENTORY.,
REQ-0000649,900223,ITEM-00085,197,PK,EXPENSE,2025-06-05,101,PO-0000161,,EBNNO1,APPROVED,URGENT,2025-08-28,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000649 for 197 ITEM-00085s from WH 101 Status: APPROVED. Need-by: 2025-06-05. Delay: no delay. Destination: EXPENSE.,
REQ-0000005,900224,ITEM-00032,80,PK,INVENTORY,2025-07-19,301,,SO-0000099,PHVPXA,IN PROCESS,URGENT,2025-07-29,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000005 for 80 ITEM-00032s from WH 301 Status: IN PROCESS. Need-by: 2025-07-19. Delay: no delay. Destination: INVENTORY.,
REQ-0000390,900225,ITEM-00298,156,BX,INVENTORY,2025-08-24,103,,SO-0000099,W4S5LE,IN PROCESS,LOW,2025-07-09,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000390 for 156 ITEM-00298s from WH 103 Status: IN PROCESS. Need-by: 2025-08-24. Delay: no delay. Destination: INVENTORY.,
REQ-0000514,900226,ITEM-00282,124,CT,EXPENSE,2025-05-06,101,PO-0000174,,XGZU1G,REJECTED,STD,2025-06-29,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000514 for 124 ITEM-00282s from WH 101 Status: REJECTED. Need-by: 2025-05-06. Delay: no delay. Destination: EXPENSE.,
REQ-0000178,900227,ITEM-00165,50,EA,EXPENSE,2025-10-09,102,PO-0000141,,8G9S99,IN PROCESS,URGENT,2025-07-11,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000178 for 50 ITEM-00165s from WH 102 Status: IN PROCESS. Need-by: 2025-10-09. Delay: no delay. Destination: EXPENSE.,
REQ-0000158,900228,ITEM-00077,138,CT,SHOP FLOOR,2025-06-29,103,,SO-0000139,FKE6D6,REQUIRES REAPPROVAL,STD,2025-07-05,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000158 for 138 ITEM-00077s from WH 103 Status: REQUIRES REAPPROVAL. Need-by: 2025-06-29. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000448,900229,ITEM-00297,74,PK,SHOP FLOOR,2025-10-08,102,,SO-0000004,O4WHC1,REQUIRES REAPPROVAL,STD,2025-10-11,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000448 for 74 ITEM-00297s from WH 102 Status: REQUIRES REAPPROVAL. Need-by: 2025-10-08. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000591,900230,ITEM-00184,104,EA,SHOP FLOOR,2025-07-26,301,PO-0000034,,DM5LG1,REJECTED,LOW,2025-08-09,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000591 for 104 ITEM-00184s from WH 301 Status: REJECTED. Need-by: 2025-07-26. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000598,900231,ITEM-00288,168,PK,INVENTORY,2025-04-28,101,,SO-0000081,5G6UCM,REJECTED,STD,2025-08-10,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000598 for 168 ITEM-00288s from WH 101 Status: REJECTED. Need-by: 2025-04-28. Delay: no delay. Destination: INVENTORY.,
REQ-0000388,900232,ITEM-00127,34,CT,INVENTORY,2025-05-19,103,PO-0000204,,QL85G3,APPROVED,URGENT,2025-10-05,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000388 for 34 ITEM-00127s from WH 103 Status: APPROVED. Need-by: 2025-05-19. Delay: no delay. Destination: INVENTORY.,
REQ-0000586,900233,ITEM-00064,3,PK,EXPENSE,2025-08-01,103,,SO-0000073,Y56WUW,REQUIRES REAPPROVAL,STD,2025-08-15,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000586 for 3 ITEM-00064s from WH 103 Status: REQUIRES REAPPROVAL. Need-by: 2025-08-01. Delay: no delay. Destination: EXPENSE.,
REQ-0000471,900234,ITEM-00050,9,EA,EXPENSE,2025-04-25,301,PO-0000201,,ZXIFZF,REJECTED,LOW,2025-07-12,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000471 for 9 ITEM-00050s from WH 301 Status: REJECTED. Need-by: 2025-04-25. Delay: no delay. Destination: EXPENSE.,
REQ-0000020,900235,ITEM-00184,184,PK,INVENTORY,2025-10-10,103,PO-0000188,,14XMIJ,REJECTED,STD,2025-06-27,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000020 for 184 ITEM-00184s from WH 103 Status: REJECTED. Need-by: 2025-10-10. Delay: no delay. Destination: INVENTORY.,
REQ-0000162,900236,ITEM-00173,131,BX,SHOP FLOOR,2025-08-16,101,PO-0000009,,RGGXYG,REJECTED,STD,2025-10-10,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000162 for 131 ITEM-00173s from WH 101 Status: REJECTED. Need-by: 2025-08-16. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000691,900237,ITEM-00204,68,BX,SHOP FLOOR,2025-08-25,201,,SO-0000005,9P077A,IN PROCESS,STD,2025-09-01,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000691 for 68 ITEM-00204s from WH 201 Status: IN PROCESS. Need-by: 2025-08-25. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000317,900238,ITEM-00140,61,BX,INVENTORY,2025-09-11,102,,SO-0000106,00ARCO,REQUIRES REAPPROVAL,URGENT,2025-08-03,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000317 for 61 ITEM-00140s from WH 102 Status: REQUIRES REAPPROVAL. Need-by: 2025-09-11. Delay: no delay. Destination: INVENTORY.,
REQ-0000313,900239,ITEM-00093,166,BX,EXPENSE,2025-08-15,102,,SO-0000001,7XGBIV,REJECTED,LOW,2025-09-24,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000313 for 166 ITEM-00093s from WH 102 Status: REJECTED. Need-by: 2025-08-15. Delay: no delay. Destination: EXPENSE.,
REQ-0000366,900240,ITEM-00268,40,PK,SHOP FLOOR,2025-07-17,301,,SO-0000017,Y30KHZ,APPROVED,STD,2025-07-22,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000366 for 40 ITEM-00268s from WH 301 Status: APPROVED. Need-by: 2025-07-17. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000164,900241,ITEM-00170,146,EA,SHOP FLOOR,2025-08-15,103,PO-0000134,,VJHZIP,APPROVED,LOW,2025-09-12,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000164 for 146 ITEM-00170s from WH 103 Status: APPROVED. Need-by: 2025-08-15. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000313,900242,ITEM-00069,95,CT,INVENTORY,2025-09-15,301,,SO-0000051,7XGBIV,REJECTED,LOW,2025-09-24,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000313 for 95 ITEM-00069s from WH 301 Status: REJECTED. Need-by: 2025-09-15. Delay: no delay. Destination: INVENTORY.,
REQ-0000198,900243,ITEM-00209,198,EA,SHOP FLOOR,2025-05-26,201,PO-0000075,,G14KCL,REQUIRES REAPPROVAL,LOW,2025-06-28,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000198 for 198 ITEM-00209s from WH 201 Status: REQUIRES REAPPROVAL. Need-by: 2025-05-26. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000358,900244,ITEM-00258,87,BX,EXPENSE,2025-09-04,101,,SO-0000027,9NH6A8,APPROVED,STD,2025-07-25,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000358 for 87 ITEM-00258s from WH 101 Status: APPROVED. Need-by: 2025-09-04. Delay: no delay. Destination: EXPENSE.,
REQ-0000657,900245,ITEM-00258,190,EA,INVENTORY,2025-08-03,103,,SO-0000021,OUIO7Q,APPROVED,LOW,2025-08-09,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000657 for 190 ITEM-00258s from WH 103 Status: APPROVED. Need-by: 2025-08-03. Delay: no delay. Destination: INVENTORY.,
REQ-0000148,900246,ITEM-00135,166,PK,EXPENSE,2025-07-19,301,PO-0000261,,442M4W,IN PROCESS,LOW,2025-10-06,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000148 for 166 ITEM-00135s from WH 301 Status: IN PROCESS. Need-by: 2025-07-19. Delay: no delay. Destination: EXPENSE.,
REQ-0000213,900247,ITEM-00052,31,PK,INVENTORY,2025-10-01,103,PO-0000117,,M754YX,APPROVED,LOW,2025-07-03,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000213 for 31 ITEM-00052s from WH 103 Status: APPROVED. Need-by: 2025-10-01. Delay: no delay. Destination: INVENTORY.,
REQ-0000276,900248,ITEM-00295,146,PK,SHOP FLOOR,2025-06-05,102,,SO-0000087,YOAXG7,APPROVED,LOW,2025-07-11,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000276 for 146 ITEM-00295s from WH 102 Status: APPROVED. Need-by: 2025-06-05. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000285,900249,ITEM-00108,55,EA,INVENTORY,2025-05-18,201,,SO-0000109,6I9DXW,IN PROCESS,STD,2025-07-25,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000285 for 55 ITEM-00108s from WH 201 Status: IN PROCESS. Need-by: 2025-05-18. Delay: no delay. Destination: INVENTORY.,
REQ-0000567,900250,ITEM-00224,140,EA,EXPENSE,2025-09-04,201,PO-0000235,,C310UJ,REQUIRES REAPPROVAL,STD,2025-08-17,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000567 for 140 ITEM-00224s from WH 201 Status: REQUIRES REAPPROVAL. Need-by: 2025-09-04. Delay: no delay. Destination: EXPENSE.,
REQ-0000092,900251,ITEM-00294,46,PK,SHOP FLOOR,2025-07-18,103,,SO-0000037,AKRY90,REQUIRES REAPPROVAL,STD,2025-07-14,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000092 for 46 ITEM-00294s from WH 103 Status: REQUIRES REAPPROVAL. Need-by: 2025-07-18. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000540,900252,ITEM-00118,92,PK,INVENTORY,2025-06-18,103,PO-0000176,,EJCNHQ,REQUIRES REAPPROVAL,LOW,2025-07-29,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000540 for 92 ITEM-00118s from WH 103 Status: REQUIRES REAPPROVAL. Need-by: 2025-06-18. Delay: no delay. Destination: INVENTORY.,
