po_number,line_location_id,line_num,item,uom,organization_id,ordered_qty,received_qty,promised_date,need_by_date,last_receipt_date,accepted_qty,rejected_qty,buyer_user_id,vendor_name,po_status,creation_date,,Process_Area,Root_Cause_Tag,Context_Summary,SLA_Flag
PO-0000081,600076,9,ITEM-00243,CT,101,122,121,2025-07-26,2025-07-16,2025-09-01,121,0,PBI1FZ,Stark Logistics,IN PROCESS,2025-08-22,94.0,Procurement,,PO PO-0000081 for 122 ITEM-00243s from Stark Logistics to WH 101. Status: IN PROCESS. ETA: 2025-07-16. Delay: 94 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000128,600077,9,ITEM-00251,BX,301,110,114,2025-08-16,2025-09-01,2025-09-14,110,4,LUZPCF,Contoso Supply,REQUIRES REAPPROVAL,2025-09-25,13.0,Procurement,,PO PO-0000128 for 110 ITEM-00251s from Contoso Supply to WH 301. Status: REQUIRES REAPPROVAL. ETA: 2025-09-01. Delay: 13 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000149,600078,5,ITEM-00102,CT,201,32,29,2025-10-13,2025-09-30,2025-08-20,29,0,FIJMNK,Contoso Supply,IN PROCESS,2025-06-27,18.0,Procurement,,PO PO-0000149 for 32 ITEM-00102s from Contoso Supply to WH 201. Status: IN PROCESS. ETA: 2025-09-30. Delay: 18 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000207,600079,9,ITEM-00006,EA,201,168,170,2025-10-19,2025-10-08,2025-10-10,168,2,8FS6VJ,Globex Ltd,IN PROCESS,2025-09-18,2.0,Procurement,,PO PO-0000207 for 168 ITEM-00006s from Globex Ltd to WH 201. Status: IN PROCESS. ETA: 2025-10-08. Delay: 2 days.,
PO-0000021,600080,8,ITEM-00096,BX,101,63,66,2025-09-20,2025-06-11,2025-10-13,63,3,715IZ6,Umbrella,IN PROCESS,2025-08-09,124.0,Procurement,,PO PO-0000021 for 63 ITEM-00096s from Umbrella to WH 101. Status: IN PROCESS. ETA: 2025-06-11. Delay: 124 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000183,600081,6,ITEM-00223,CT,102,111,115,2025-07-30,2025-08-04,2025-09-16,111,4,8XO0JC,Stark Logistics,REQUIRES REAPPROVAL,2025-10-03,43.0,Procurement,,PO PO-0000183 for 111 ITEM-00223s from Stark Logistics to WH 102. Status: REQUIRES REAPPROVAL. ETA: 2025-08-04. Delay: 43 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000255,600082,2,ITEM-00299,EA,103,78,79,2025-10-26,2025-05-02,2025-09-04,78,1,7UDKP6,Wayne Industrial,REJECTED,2025-09-07,125.0,Procurement,,PO PO-0000255 for 78 ITEM-00299s from Wayne Industrial to WH 103. Status: REJECTED. ETA: 2025-05-02. Delay: 125 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000228,600083,5,ITEM-00149,EA,102,29,25,2025-08-31,2025-04-26,2025-10-03,25,0,U89DLS,Stark Logistics,APPROVED,2025-09-11,175.0,Procurement,,PO PO-0000228 for 29 ITEM-00149s from Stark Logistics to WH 102. Status: APPROVED. ETA: 2025-04-26. Delay: 175 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000261,600084,5,ITEM-00204,EA,201,43,45,2025-08-05,2025-06-28,2025-10-12,43,2,AOEXTS,Umbrella,APPROVED,2025-10-14,106.0,Procurement,,PO PO-0000261 for 43 ITEM-00204s from Umbrella to WH 201. Status: APPROVED. ETA: 2025-06-28. Delay: 106 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000245,600085,2,ITEM-00167,PK,301,39,35,2025-08-31,2025-08-08,2025-09-15,35,0,47X297,Acme Parts,APPROVED,2025-09-27,71.0,Procurement,,PO PO-0000245 for 39 ITEM-00167s from Acme Parts to WH 301. Status: APPROVED. ETA: 2025-08-08. Delay: 71 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000029,600086,1,ITEM-00004,CT,101,115,116,2025-07-09,2025-05-12,2025-10-16,115,1,FHZBDV,Globex Ltd,IN PROCESS,2025-08-19,157.0,Procurement,,PO PO-0000029 for 115 ITEM-00004s from Globex Ltd to WH 101. Status: IN PROCESS. ETA: 2025-05-12. Delay: 157 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000170,600087,9,ITEM-00190,CT,102,87,82,2025-07-29,2025-10-14,2025-08-22,82,0,PHUEPE,Contoso Supply,REQUIRES REAPPROVAL,2025-09-05,4.0,Procurement,,PO PO-0000170 for 87 ITEM-00190s from Contoso Supply to WH 102. Status: REQUIRES REAPPROVAL. ETA: 2025-10-14. Delay: 4 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000217,600088,2,ITEM-00112,PK,103,194,191,2025-08-10,2025-05-05,2025-09-10,191,0,1ZRG2C,Contoso Supply,REJECTED,2025-09-01,166.0,Procurement,,PO PO-0000217 for 194 ITEM-00112s from Contoso Supply to WH 103. Status: REJECTED. ETA: 2025-05-05. Delay: 166 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000045,600089,9,ITEM-00217,CT,201,27,23,2025-07-12,2025-05-20,2025-10-16,23,0,TDI9CI,Globex Ltd,APPROVED,2025-07-31,151.0,Procurement,,PO PO-0000045 for 27 ITEM-00217s from Globex Ltd to WH 201. Status: APPROVED. ETA: 2025-05-20. Delay: 151 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000039,600090,2,ITEM-00019,PK,102,70,70,2025-09-05,2025-10-10,2025-10-14,70,0,FLL9WD,Acme Parts,REQUIRES REAPPROVAL,2025-08-08,4.0,Procurement,,PO PO-0000039 for 70 ITEM-00019s from Acme Parts to WH 102. Status: REQUIRES REAPPROVAL. ETA: 2025-10-10. Delay: 4 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000131,600091,9,ITEM-00297,BX,103,136,137,2025-07-20,2025-05-31,2025-08-27,136,1,63RGAY,Stark Logistics,REJECTED,2025-10-01,88.0,Procurement,,PO PO-0000131 for 136 ITEM-00297s from Stark Logistics to WH 103. Status: REJECTED. ETA: 2025-05-31. Delay: 88 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000059,600092,2,ITEM-00039,PK,201,66,70,2025-07-28,2025-05-12,2025-09-10,66,4,VUAW3P,Contoso Supply,REJECTED,2025-08-19,121.0,Procurement,,PO PO-0000059 for 66 ITEM-00039s from Contoso Supply to WH 201. Status: REJECTED. ETA: 2025-05-12. Delay: 121 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000221,600093,5,ITEM-00159,EA,103,188,184,2025-07-27,2025-07-30,2025-10-04,184,0,YA8DYU,Globex Ltd,REQUIRES REAPPROVAL,2025-09-05,80.0,Procurement,,PO PO-0000221 for 188 ITEM-00159s from Globex Ltd to WH 103. Status: REQUIRES REAPPROVAL. ETA: 2025-07-30. Delay: 80 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000144,600094,4,ITEM-00001,PK,201,103,107,2025-09-16,2025-04-30,2025-09-19,103,4,S7V8OZ,Stark Logistics,APPROVED,2025-10-03,142.0,Procurement,,PO PO-0000144 for 103 ITEM-00001s from Stark Logistics to WH 201. Status: APPROVED. ETA: 2025-04-30. Delay: 142 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000057,600095,9,ITEM-00173,CT,201,85,88,2025-09-05,2025-04-29,2025-09-15,85,3,DTW2NF,Acme Parts,REJECTED,2025-07-06,139.0,Procurement,,PO PO-0000057 for 85 ITEM-00173s from Acme Parts to WH 201. Status: REJECTED. ETA: 2025-04-29. Delay: 139 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000002,600096,4,ITEM-00193,CT,102,176,180,2025-10-07,2025-05-25,2025-10-16,176,4,1ZCO65,Acme Parts,REJECTED,2025-10-13,144.0,Procurement,,PO PO-0000002 for 176 ITEM-00193s from Acme Parts to WH 102. Status: REJECTED. ETA: 2025-05-25. Delay: 144 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000142,600097,7,ITEM-00210,CT,201,168,164,2025-10-29,2025-05-17,2025-09-04,164,0,4BJQRO,Initech,APPROVED,2025-09-24,154.0,Procurement,,PO PO-0000142 for 168 ITEM-00210s from Initech to WH 201. Status: APPROVED. ETA: 2025-05-17. Delay: 154 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000183,600098,3,ITEM-00285,BX,102,166,170,2025-07-15,2025-06-01,2025-10-11,166,4,8XO0JC,Stark Logistics,REQUIRES REAPPROVAL,2025-10-03,132.0,Procurement,,PO PO-0000183 for 166 ITEM-00285s from Stark Logistics to WH 102. Status: REQUIRES REAPPROVAL. ETA: 2025-06-01. Delay: 132 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000106,600099,2,ITEM-00033,PK,101,142,142,2025-08-10,2025-06-06,2025-08-19,142,0,F75D7G,Wayne Industrial,REJECTED,2025-07-29,74.0,Procurement,,PO PO-0000106 for 142 ITEM-00033s from Wayne Industrial to WH 101. Status: REJECTED. ETA: 2025-06-06. Delay: 74 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000138,600100,7,ITEM-00174,EA,201,159,160,2025-10-06,2025-07-18,2025-09-26,159,1,IEQACT,Stark Logistics,REJECTED,2025-09-01,70.0,Procurement,,PO PO-0000138 for 159 ITEM-00174s from Stark Logistics to WH 201. Status: REJECTED. ETA: 2025-07-18. Delay: 70 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000112,600101,8,ITEM-00035,CT,102,21,20,2025-07-21,2025-08-15,2025-10-04,20,0,827KNM,Globex Ltd,REJECTED,2025-08-22,64.0,Procurement,,PO PO-0000112 for 21 ITEM-00035s from Globex Ltd to WH 102. Status: REJECTED. ETA: 2025-08-15. Delay: 64 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000256,600102,8,ITEM-00093,EA,301,72,70,2025-08-27,2025-09-24,2025-10-04,70,0,OV4Z7L,Initech,REJECTED,2025-09-29,24.0,Procurement,,PO PO-0000256 for 72 ITEM-00093s from Initech to WH 301. Status: REJECTED. ETA: 2025-09-24. Delay: 24 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000201,600103,2,ITEM-00164,CT,301,61,59,2025-09-06,2025-07-26,2025-10-01,59,0,WJ2NL5,Acme Parts,REJECTED,2025-10-14,84.0,Procurement,,PO PO-0000201 for 61 ITEM-00164s from Acme Parts to WH 301. Status: REJECTED. ETA: 2025-07-26. Delay: 84 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000006,600104,3,ITEM-00104,BX,102,45,47,2025-09-01,2025-04-21,2025-08-23,45,2,39ZJBK,Globex Ltd,REJECTED,2025-07-01,124.0,Procurement,,PO PO-0000006 for 45 ITEM-00104s from Globex Ltd to WH 102. Status: REJECTED. ETA: 2025-04-21. Delay: 124 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000036,600105,4,ITEM-00119,CT,301,10,13,2025-07-20,2025-06-27,2025-10-11,10,3,E8812A,Initech,APPROVED,2025-07-31,106.0,Procurement,,PO PO-0000036 for 10 ITEM-00119s from Initech to WH 301. Status: APPROVED. ETA: 2025-06-27. Delay: 106 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000272,600106,4,ITEM-00216,CT,103,11,12,2025-09-12,2025-08-27,2025-10-07,11,1,RZF82A,Wayne Industrial,APPROVED,2025-10-03,41.0,Procurement,,PO PO-0000272 for 11 ITEM-00216s from Wayne Industrial to WH 103. Status: APPROVED. ETA: 2025-08-27. Delay: 41 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000262,600107,3,ITEM-00243,EA,201,100,104,2025-09-17,2025-05-25,2025-08-24,100,4,LUSMGH,Globex Ltd,REJECTED,2025-06-20,91.0,Procurement,,PO PO-0000262 for 100 ITEM-00243s from Globex Ltd to WH 201. Status: REJECTED. ETA: 2025-05-25. Delay: 91 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000034,600108,2,ITEM-00120,BX,201,151,151,2025-09-17,2025-09-20,2025-09-07,151,0,H0LKSC,Contoso Supply,IN PROCESS,2025-08-06,0.0,Procurement,,PO PO-0000034 for 151 ITEM-00120s from Contoso Supply to WH 201. Status: IN PROCESS. ETA: 2025-09-20. Delay: no delay.,
PO-0000115,600109,3,ITEM-00259,PK,102,141,140,2025-08-31,2025-10-02,2025-09-10,140,0,GFGNNI,Wayne Industrial,REQUIRES REAPPROVAL,2025-10-02,16.0,Procurement,,PO PO-0000115 for 141 ITEM-00259s from Wayne Industrial to WH 102. Status: REQUIRES REAPPROVAL. ETA: 2025-10-02. Delay: 16 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000231,600110,7,ITEM-00206,CT,101,147,147,2025-08-01,2025-08-14,2025-08-22,147,0,SMADE0,Umbrella,IN PROCESS,2025-09-09,8.0,Procurement,,PO PO-0000231 for 147 ITEM-00206s from Umbrella to WH 101. Status: IN PROCESS. ETA: 2025-08-14. Delay: 8 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000223,600111,7,ITEM-00269,EA,301,28,30,2025-10-15,2025-09-06,2025-10-12,28,2,WXRE2Y,Umbrella,IN PROCESS,2025-09-14,36.0,Procurement,,PO PO-0000223 for 28 ITEM-00269s from Umbrella to WH 301. Status: IN PROCESS. ETA: 2025-09-06. Delay: 36 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000020,600112,4,ITEM-00152,EA,102,150,153,2025-10-24,2025-10-16,2025-10-07,150,3,V5DRX1,Initech,APPROVED,2025-08-25,0.0,Procurement,,PO PO-0000020 for 150 ITEM-00152s from Initech to WH 102. Status: APPROVED. ETA: 2025-10-16. Delay: no delay.,
PO-0000136,600113,7,ITEM-00220,BX,201,196,195,2025-07-09,2025-06-03,2025-08-25,195,0,CCDI4N,Globex Ltd,REQUIRES REAPPROVAL,2025-09-08,137.0,Procurement,,PO PO-0000136 for 196 ITEM-00220s from Globex Ltd to WH 201. Status: REQUIRES REAPPROVAL. ETA: 2025-06-03. Delay: 137 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000136,600114,2,ITEM-00045,CT,101,89,93,2025-10-09,2025-07-01,2025-09-10,89,4,CCDI4N,Globex Ltd,REQUIRES REAPPROVAL,2025-09-08,71.0,Procurement,,PO PO-0000136 for 89 ITEM-00045s from Globex Ltd to WH 101. Status: REQUIRES REAPPROVAL. ETA: 2025-07-01. Delay: 71 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000205,600115,8,ITEM-00041,PK,102,15,11,2025-10-20,2025-05-28,2025-10-08,11,0,FKR95S,Umbrella,REJECTED,2025-10-13,143.0,Procurement,,PO PO-0000205 for 15 ITEM-00041s from Umbrella to WH 102. Status: REJECTED. ETA: 2025-05-28. Delay: 143 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000161,600116,8,ITEM-00077,EA,101,44,45,2025-10-20,2025-10-04,2025-08-24,44,1,GWL97B,Wayne Industrial,APPROVED,2025-10-02,0.0,Procurement,,PO PO-0000161 for 44 ITEM-00077s from Wayne Industrial to WH 101. Status: APPROVED. ETA: 2025-10-04. Delay: no delay.,
PO-0000159,600117,7,ITEM-00169,CT,201,139,140,2025-10-13,2025-05-11,2025-08-20,139,1,C1JR2Y,Globex Ltd,REQUIRES REAPPROVAL,2025-09-24,101.0,Procurement,,PO PO-0000159 for 139 ITEM-00169s from Globex Ltd to WH 201. Status: REQUIRES REAPPROVAL. ETA: 2025-05-11. Delay: 101 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000087,600118,9,ITEM-00256,BX,103,147,144,2025-11-14,2025-05-12,2025-09-17,144,0,AD9UR6,Stark Logistics,IN PROCESS,2025-08-28,159.0,Procurement,,PO PO-0000087 for 147 ITEM-00256s from Stark Logistics to WH 103. Status: IN PROCESS. ETA: 2025-05-12. Delay: 159 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000187,600119,8,ITEM-00130,CT,101,120,118,2025-08-15,2025-05-06,2025-09-07,118,0,4E8Z5X,Contoso Supply,REJECTED,2025-07-07,165.0,Procurement,,PO PO-0000187 for 120 ITEM-00130s from Contoso Supply to WH 101. Status: REJECTED. ETA: 2025-05-06. Delay: 165 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000234,600120,4,ITEM-00273,CT,201,21,21,2025-09-01,2025-06-07,2025-09-03,21,0,KBPDOM,Acme Parts,APPROVED,2025-07-11,88.0,Procurement,,PO PO-0000234 for 21 ITEM-00273s from Acme Parts to WH 201. Status: APPROVED. ETA: 2025-06-07. Delay: 88 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000030,600121,7,ITEM-00041,EA,201,99,99,2025-07-17,2025-06-23,2025-10-12,99,0,4GE9HL,Umbrella,APPROVED,2025-08-24,111.0,Procurement,,PO PO-0000030 for 99 ITEM-00041s from Umbrella to WH 201. Status: APPROVED. ETA: 2025-06-23. Delay: 111 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000191,600122,4,ITEM-00142,BX,301,82,78,2025-07-05,2025-08-23,2025-09-16,78,0,P4746Y,Contoso Supply,IN PROCESS,2025-07-04,56.0,Procurement,,PO PO-0000191 for 82 ITEM-00142s from Contoso Supply to WH 301. Status: IN PROCESS. ETA: 2025-08-23. Delay: 56 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000111,600123,4,ITEM-00202,BX,102,79,80,2025-10-06,2025-04-22,2025-09-29,79,1,WXFF4I,Stark Logistics,REQUIRES REAPPROVAL,2025-08-24,160.0,Procurement,,PO PO-0000111 for 79 ITEM-00202s from Stark Logistics to WH 102. Status: REQUIRES REAPPROVAL. ETA: 2025-04-22. Delay: 160 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000269,600124,1,ITEM-00116,PK,103,164,160,2025-08-29,2025-08-02,2025-09-28,160,0,II2F44,Globex Ltd,APPROVED,2025-06-24,77.0,Procurement,,PO PO-0000269 for 164 ITEM-00116s from Globex Ltd to WH 103. Status: APPROVED. ETA: 2025-08-02. Delay: 77 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000161,600125,5,ITEM-00085,PK,101,197,195,2025-09-11,2025-06-05,2025-08-22,195,0,GWL97B,Wayne Industrial,APPROVED,2025-10-02,135.0,Procurement,,PO PO-0000161 for 197 ITEM-00085s from Wayne Industrial to WH 101. Status: APPROVED. ETA: 2025-06-05. Delay: 135 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000174,600126,7,ITEM-00282,CT,101,124,128,2025-07-09,2025-05-06,2025-10-09,124,4,7NDRVB,Acme Parts,APPROVED,2025-10-14,156.0,Procurement,,PO PO-0000174 for 124 ITEM-00282s from Acme Parts to WH 101. Status: APPROVED. ETA: 2025-05-06. Delay: 156 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000141,600127,2,ITEM-00165,EA,102,50,45,2025-08-07,2025-10-09,2025-09-06,45,0,6J7MSV,Initech,IN PROCESS,2025-09-10,9.0,Procurement,,PO PO-0000141 for 50 ITEM-00165s from Initech to WH 102. Status: IN PROCESS. ETA: 2025-10-09. Delay: 9 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000034,600128,8,ITEM-00184,EA,301,104,105,2025-09-03,2025-07-26,2025-08-21,104,1,H0LKSC,Contoso Supply,IN PROCESS,2025-08-06,26.0,Procurement,,PO PO-0000034 for 104 ITEM-00184s from Contoso Supply to WH 301. Status: IN PROCESS. ETA: 2025-07-26. Delay: 26 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000204,600129,9,ITEM-00127,CT,103,34,38,2025-10-14,2025-05-19,2025-09-20,34,4,W7FGCJ,Initech,REQUIRES REAPPROVAL,2025-09-05,124.0,Procurement,,PO PO-0000204 for 34 ITEM-00127s from Initech to WH 103. Status: REQUIRES REAPPROVAL. ETA: 2025-05-19. Delay: 124 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000201,600130,9,ITEM-00050,EA,301,9,5,2025-07-27,2025-04-25,2025-10-01,5,0,WJ2NL5,Acme Parts,REJECTED,2025-10-14,176.0,Procurement,,PO PO-0000201 for 9 ITEM-00050s from Acme Parts to WH 301. Status: REJECTED. ETA: 2025-04-25. Delay: 176 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000188,600131,5,ITEM-00184,PK,103,184,186,2025-07-12,2025-10-10,2025-10-18,184,2,HFX80Y,Initech,APPROVED,2025-10-12,8.0,Procurement,,PO PO-0000188 for 184 ITEM-00184s from Initech to WH 103. Status: APPROVED. ETA: 2025-10-10. Delay: 8 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000009,600132,4,ITEM-00173,BX,101,131,126,2025-11-08,2025-08-16,2025-09-10,126,0,7SWXW3,Acme Parts,APPROVED,2025-08-13,63.0,Procurement,,PO PO-0000009 for 131 ITEM-00173s from Acme Parts to WH 101. Status: APPROVED. ETA: 2025-08-16. Delay: 63 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000134,600133,5,ITEM-00170,EA,103,146,150,2025-09-26,2025-08-15,2025-09-29,146,4,YWZV42,Contoso Supply,REJECTED,2025-09-10,45.0,Procurement,,PO PO-0000134 for 146 ITEM-00170s from Contoso Supply to WH 103. Status: REJECTED. ETA: 2025-08-15. Delay: 45 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000075,600134,9,ITEM-00209,EA,201,198,195,2025-07-18,2025-05-26,2025-09-01,195,0,M7NFX4,Globex Ltd,APPROVED,2025-06-23,145.0,Procurement,,PO PO-0000075 for 198 ITEM-00209s from Globex Ltd to WH 201. Status: APPROVED. ETA: 2025-05-26. Delay: 145 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000261,600135,1,ITEM-00135,PK,301,166,164,2025-10-15,2025-07-19,2025-10-07,164,0,AOEXTS,Umbrella,APPROVED,2025-10-14,91.0,Procurement,,PO PO-0000261 for 166 ITEM-00135s from Umbrella to WH 301. Status: APPROVED. ETA: 2025-07-19. Delay: 91 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000117,600136,5,ITEM-00052,PK,103,31,26,2025-07-26,2025-10-01,2025-09-02,26,0,EXYW52,Initech,APPROVED,2025-08-05,17.0,Procurement,,PO PO-0000117 for 31 ITEM-00052s from Initech to WH 103. Status: APPROVED. ETA: 2025-10-01. Delay: 17 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000235,600137,3,ITEM-00224,EA,201,140,141,2025-09-06,2025-09-04,2025-09-11,140,1,40HAPD,Initech,IN PROCESS,2025-07-17,7.0,Procurement,,PO PO-0000235 for 140 ITEM-00224s from Initech to WH 201. Status: IN PROCESS. ETA: 2025-09-04. Delay: 7 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000176,600138,3,ITEM-00118,PK,103,92,95,2025-08-20,2025-06-18,2025-09-22,92,3,2X92WY,Globex Ltd,REQUIRES REAPPROVAL,2025-07-17,96.0,Procurement,,PO PO-0000176 for 92 ITEM-00118s from Globex Ltd to WH 103. Status: REQUIRES REAPPROVAL. ETA: 2025-06-18. Delay: 96 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000151,600139,4,ITEM-00149,BX,201,9,6,2025-08-25,2025-05-28,2025-09-28,6,0,6P3MR0,Wayne Industrial,IN PROCESS,2025-08-22,143.0,Procurement,,PO PO-0000151 for 9 ITEM-00149s from Wayne Industrial to WH 201. Status: IN PROCESS. ETA: 2025-05-28. Delay: 143 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000077,600140,5,ITEM-00109,EA,103,120,123,2025-07-21,2025-09-29,2025-08-25,120,3,IDRVH7,Globex Ltd,APPROVED,2025-10-13,0.0,Procurement,,PO PO-0000077 for 120 ITEM-00109s from Globex Ltd to WH 103. Status: APPROVED. ETA: 2025-09-29. Delay: no delay.,
PO-0000018,600141,1,ITEM-00240,EA,103,113,115,2025-08-24,2025-10-02,2025-08-28,113,2,OK9PLS,Acme Parts,APPROVED,2025-10-09,0.0,Procurement,,PO PO-0000018 for 113 ITEM-00240s from Acme Parts to WH 103. Status: APPROVED. ETA: 2025-10-02. Delay: no delay.,
PO-0000085,600142,4,ITEM-00228,BX,301,179,174,2025-07-25,2025-07-22,2025-09-20,174,0,F2SBTK,Stark Logistics,REQUIRES REAPPROVAL,2025-07-10,88.0,Procurement,,PO PO-0000085 for 179 ITEM-00228s from Stark Logistics to WH 301. Status: REQUIRES REAPPROVAL. ETA: 2025-07-22. Delay: 88 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000007,600143,4,ITEM-00170,CT,102,64,60,2025-10-25,2025-09-15,2025-08-20,60,0,0R5BAD,Acme Parts,REJECTED,2025-07-01,33.0,Procurement,,PO PO-0000007 for 64 ITEM-00170s from Acme Parts to WH 102. Status: REJECTED. ETA: 2025-09-15. Delay: 33 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000083,600144,9,ITEM-00045,CT,201,183,185,2025-09-02,2025-06-30,2025-09-23,183,2,06VWML,Acme Parts,APPROVED,2025-07-26,85.0,Procurement,,PO PO-0000083 for 183 ITEM-00045s from Acme Parts to WH 201. Status: APPROVED. ETA: 2025-06-30. Delay: 85 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000261,600145,6,ITEM-00239,PK,102,130,127,2025-08-24,2025-09-30,2025-09-09,127,0,AOEXTS,Umbrella,APPROVED,2025-10-14,18.0,Procurement,,PO PO-0000261 for 130 ITEM-00239s from Umbrella to WH 102. Status: APPROVED. ETA: 2025-09-30. Delay: 18 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000042,600146,9,ITEM-00153,EA,301,26,29,2025-07-22,2025-06-25,2025-09-03,26,3,FMDBIE,Contoso Supply,REQUIRES REAPPROVAL,2025-07-02,70.0,Procurement,,PO PO-0000042 for 26 ITEM-00153s from Contoso Supply to WH 301. Status: REQUIRES REAPPROVAL. ETA: 2025-06-25. Delay: 70 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000237,600147,1,ITEM-00150,BX,301,33,32,2025-09-03,2025-09-14,2025-09-20,32,0,VQLVJJ,Contoso Supply,REJECTED,2025-10-16,34.0,Procurement,,PO PO-0000237 for 33 ITEM-00150s from Contoso Supply to WH 301. Status: REJECTED. ETA: 2025-09-14. Delay: 34 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000144,600148,8,ITEM-00109,BX,201,31,27,2025-09-17,2025-08-15,2025-10-13,27,0,S7V8OZ,Stark Logistics,APPROVED,2025-10-03,64.0,Procurement,,PO PO-0000144 for 31 ITEM-00109s from Stark Logistics to WH 201. Status: APPROVED. ETA: 2025-08-15. Delay: 64 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000184,600149,1,ITEM-00153,BX,103,71,68,2025-09-27,2025-06-07,2025-09-20,68,0,KL1NOA,Initech,REJECTED,2025-07-29,133.0,Procurement,,PO PO-0000184 for 71 ITEM-00153s from Initech to WH 103. Status: REJECTED. ETA: 2025-06-07. Delay: 133 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000034,600150,9,ITEM-00205,EA,301,138,138,2025-09-19,2025-07-20,2025-09-24,138,0,H0LKSC,Contoso Supply,IN PROCESS,2025-08-06,66.0,Procurement,,PO PO-0000034 for 138 ITEM-00205s from Contoso Supply to WH 301. Status: IN PROCESS. ETA: 2025-07-20. Delay: 66 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000147,600151,1,ITEM-00097,BX,103,65,60,2025-09-15,2025-04-23,2025-10-10,60,0,G4PG3Z,Acme Parts,REJECTED,2025-08-08,178.0,Procurement,,PO PO-0000147 for 65 ITEM-00097s from Acme Parts to WH 103. Status: REJECTED. ETA: 2025-04-23. Delay: 178 days. SLA: SLA_BREACH.,SLA_BREACH
